time,open,high,low,close,spread,f01_CPR,f02_WickAsym,f03_BEF,f04_TCS,f05_SPI,f06_LRSlope,f07_RECR,f08_SCM,f09_HLER,f10_EP,f11_KE,f12_MCS,f13_Work,f14_EDR,f15_AI,f16_PPShigh,f16_PPSlow,f17_SCR,f18_RVD,f19_WBER,f20_NCDE,h1_trend_sma20,h1_trend_sma50,h1_slope5,h1_rsi14,h1_atr_ratio,h1_dist_sma20,h1_dist_sma50,h4_trend_sma20,h4_trend_sma50,h4_slope5,h4_rsi14,h4_atr_ratio,h4_dist_sma20,h4_dist_sma50,label
2016.09.09 03:50,625.21000,625.55000,625.21000,625.55000,0,1.000000,0.000000,1.000000,1.000000,0.000000,-0.203109,0.719577,0.416667,0.333333,0.894737,0.121655,-0.993253,0.389204,1.050078,1.000000,-1.015544,-0.014508,0.323810,0.875000,0.000000,0.011792,0.894896,2.852402,0.112090,50.4000,0.207954,0.513031,1.653802,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,1
2016.09.09 03:55,625.49000,625.55000,625.49000,625.55000,0,1.000000,0.000000,1.000000,1.000000,0.000000,-0.205372,0.149068,-0.083333,0.333333,0.000000,0.003765,-0.500000,0.000000,0.510082,1.000000,-0.650826,-0.419421,0.057143,0.000000,0.000000,0.010256,0.894896,2.852402,0.112090,50.4000,0.207954,0.513031,1.653802,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,1
2016.09.09 04:00,626.00000,626.25000,625.16000,625.16000,0,0.000000,0.229358,0.770642,-0.770642,0.052605,-0.097441,3.603306,-0.916667,0.000000,-18.166667,-1.219804,1080.325426,-3.185486,3.185486,-1.000000,0.960082,0.057318,1.000000,0.000000,0.297619,-2.727625,0.720045,2.804153,0.115946,50.4865,0.170931,0.400688,1.578754,1.999620,4.712249,0.022796,81.8407,-0.007597,2.148540,5.215195,0
2016.09.09 04:05,625.15000,625.93000,625.15000,625.93000,0,1.000000,0.000000,1.000000,1.000000,0.000000,0.099345,1.668449,0.750000,0.709091,0.715596,0.710599,-0.638187,3.397201,4.662290,1.000000,-0.489083,0.015284,0.709091,1.974359,0.000000,1.102962,0.720045,2.804153,0.115946,50.4865,0.170931,0.400688,1.578754,1.999620,4.712249,0.022796,81.8407,-0.007597,2.148540,5.215195,0
2016.09.09 04:10,625.15000,625.80000,625.10000,625.80000,0,1.000000,-0.071429,0.928571,0.928571,-0.005102,0.137500,1.233480,-0.833333,0.608696,0.000000,0.598145,-0.039841,-0.293416,3.633228,1.000000,-0.703125,0.078125,0.608696,0.168831,0.076923,0.941611,0.720045,2.804153,0.115946,50.4865,0.170931,0.400688,1.578754,1.999620,4.712249,0.022796,81.8407,-0.007597,2.148540,5.215195,0
2016.09.09 04:15,625.80000,625.80000,625.20000,625.20000,0,0.000000,0.000000,1.000000,-1.000000,0.000000,-0.009745,0.912548,-1.416667,0.086957,-0.857143,-0.474804,1.399827,-1.581896,1.376250,-1.000000,-0.730858,-0.162413,0.521739,4.615385,0.000000,-1.639106,0.720045,2.804153,0.115946,50.4865,0.170931,0.400688,1.578754,1.999620,4.712249,0.022796,81.8407,-0.007597,2.148540,5.215195,0
2016.09.09 04:20,625.20000,625.20000,624.90000,625.00000,0,0.333333,-0.333333,0.666667,-0.444444,-0.111111,-0.183980,0.378549,-1.583333,0.074074,0.000000,-0.138158,-0.832094,-0.400049,1.055280,-0.333333,-1.279099,0.350438,0.222222,0.333333,0.500000,-0.174018,0.720045,2.804153,0.115946,50.4865,0.170931,0.400688,1.578754,1.999620,4.712249,0.022796,81.8407,-0.007597,2.148540,5.215195,-1
2016.09.09 04:25,625.00000,625.00000,624.65000,624.65000,0,0.000000,0.000000,1.000000,-1.000000,0.000000,-0.628037,0.588235,-2.083333,0.000000,0.000000,-0.213992,0.164364,-0.246791,0.206161,-1.000000,-1.495327,0.467290,0.273438,1.750000,0.000000,-0.442024,0.720045,2.804153,0.115946,50.4865,0.170931,0.400688,1.578754,1.999620,4.712249,0.022796,81.8407,-0.007597,2.148540,5.215195,-1
2016.09.09 04:30,624.65000,624.98000,624.64000,624.64000,0,0.000000,0.970588,0.029412,-0.029412,0.942042,-0.531481,0.697436,-2.083333,0.000000,0.000000,-0.198217,1.733667,-0.027499,0.451539,-1.000000,-1.518519,0.018519,0.293103,0.028571,33.000000,-0.033983,0.720045,2.804153,0.115946,50.4865,0.170931,0.400688,1.578754,1.999620,4.712249,0.022796,81.8407,-0.007597,2.148540,5.215195,-1
2016.09.09 04:35,624.70000,624.70000,624.70000,624.70000,0,0.000000,0.000000,0.000000,0.000000,0.000000,-0.276343,0.000000,-0.083333,0.051724,0.000000,0.000000,-0.998964,0.128506,0.157729,0.000000,-1.015965,-0.121916,0.000000,6.000000,0.000000,0.000000,0.720045,2.804153,0.115946,50.4865,0.170931,0.400688,1.578754,1.999620,4.712249,0.022796,81.8407,-0.007597,2.148540,5.215195,-1
