f01_CPR,f02_WickAsym,f03_BEF,f04_TCS,f05_SPI,f06_LRSlope,f07_RECR,f08_SCM,f09_HLER,f10_EP,f11_KE,f12_MCS,f13_Work,f14_EDR,f15_AI,f16_PPShigh,f16_PPSlow,f17_SCR,f18_RVD,f19_WBER,f20_NCDE,rsi14,rsi6,stoch_k,stoch_d,bb_pct,mom5,mom10,mom20,ll_dist10,hh_dist10,vol_accel,atr_ratio,spread_norm,hour_enc,dow_enc,time,idx,direction,rule,atr,entry_price,label,hurst_rs,ou_theta,entropy_rate,kramers_up,wavelet_er,vwap_dist,quantum_flow,quantum_flow_h4,quantum_momentum,quantum_vwap_conf,quantum_divergence,quantum_div_strength
0.941463,-0.458537,0.42439,0.399548,-0.263938,0.15718,2.897527,0.916667,0.941463,0.0,1.754754,1.372368,3.847737,3.708782,0.882927,0.411227,0.804178,1.0,18.0,1.356322,0.724439,-0.0520833334266594,0.0673076921440489,0.9414634145882732,0.5440309283901229,0.5069441691293132,1.0052219320229576,-0.1919060052044319,0.5300261096120822,1.306788511630011,0.7493472584171176,-0.1687023346594497,0.0533118819716671,14.621409920335136,-0.7071067811865471,0.0,2020-01-06 15:00:00,569,1,R3f_sma_bounce,1.0942857142856934,1577.48,0,0.48959663654519403,0.11177289346715015,0.7913221145479782,0.039621498163739347,24.527777952509503,2.030311580387507,1.0942857142856934,3418.4571428571417,21.388214285713858,1.0,0.0,0.0
0.645161,0.290323,0.580645,0.37461,0.121748,-0.007,1.347826,0.916667,0.674419,0.0,0.588612,-0.011239,1.355643,1.020606,0.290323,-0.105,-0.315,0.72093,4.0,0.722222,0.601382,-0.0021459230459196,-0.1271186442574201,0.6744186044946655,0.2828393632970217,0.4489086969209843,0.6999999997551989,-0.8399999997052837,0.6999999997551989,1.0149999996454762,2.694999999056839,-0.0681438413880529,-0.4724903730467366,55.99999998040318,1.0,0.9510565162951535,2020-02-18 06:45:00,578,1,R3d_oversold,2.122857142857096,1586.63,0,0.5179893541593646,0.14707380979232493,0.562199854764632,0.10105175905999456,67.75572982581943,2.96704645323126,12.142857142856453,539.4000000000016,16.019285714285008,1.0,0.0,0.0
0.666667,0.0,0.333333,0.222222,0.0,-0.130377,1.0,1.083333,0.333333,0.909091,0.433626,0.366753,0.656314,2.791644,0.333333,-0.931264,0.310421,0.5,0.333333,2.0,0.323089,-0.0920577619390538,-0.2183098593931581,0.3333333332777777,0.2592592592078387,0.1991004031420971,-0.9312638578039028,-0.9312638578039028,-0.9933481149914886,0.310421285934399,1.3968957867062073,0.208870991193002,-0.3545709543911612,49.66740574954902,0.9659258262890683,0.9510565162951535,2020-02-18 07:15:00,584,1,R3b_higherlow,1.7178571428571234,1586.32,0,0.5284089503342625,0.23891229240550313,0.5583223204530716,0.14075466269184675,67.75572982581943,1.4973198903023306,-11.11392857142855,539.4000000000016,-9.693214285714314,-1.0,1.0,539.4000000000016
0.736842,-0.342105,0.131579,0.096953,-0.297091,-0.257971,0.904762,-0.083333,0.345679,0.745098,0.606595,0.049442,0.641477,1.292615,0.473684,-0.927536,0.26087,0.469136,1.0,6.6,0.147939,-0.1123348020011908,0.0514018688497328,0.3456790123029922,0.2230610952532003,0.1767710070183366,-0.376811594093323,-1.188405796756524,-2.057971013895621,0.5507246375216697,1.7681159415161416,0.1408444883543018,-0.1677005791916831,37.68115940936657,0.8660254037844387,0.9510565162951535,2020-02-18 08:05:00,594,1,R3a_pullback,0.345000000000011,1585.91,0,0.5285064310358074,0.24353861888408881,0.5533853112368262,0.0292036809134929,67.85126182757833,0.13726803778241747,-24.322500000000776,595.7500000000039,1.3475000000016273,-1.0,1.0,595.7500000000039
0.666667,0.0,0.333333,0.222222,0.0,-0.369517,0.591133,0.416667,0.196078,0.545455,0.304722,-0.552391,0.494668,1.332984,0.333333,-1.301115,0.130112,0.294118,0.833333,2.0,0.194737,-0.1575875488246119,-0.2888888890294443,0.1960784313533737,0.0862046113627956,0.0607628934684531,-1.3011152412970812,-1.7955390329895224,-2.6542750922459986,0.390334572389361,2.680297397071916,0.225153442609675,-0.0311543312365193,39.03345723891243,0.8660254037844387,0.9510565162951535,2020-02-18 08:20:00,597,1,R3e_false_breakdown,0.384285714285722,1585.41,1,0.5314656008228297,0.16819626647457495,0.5533853112368262,0.0292036809134929,67.85126182757833,-1.1465144194129693,-48.99642857142956,595.7500000000039,3.9442857142855274,1.0,1.0,595.7500000000039
0.45,0.5,0.4,0.18,0.3,-0.302703,0.824742,0.583333,0.171429,0.655738,0.396319,-0.205807,0.921017,3.975138,-0.1,-1.446741,0.0,0.380952,0.272727,1.5,0.407035,-0.1679687501815487,-0.1116504856631526,0.1714285714123129,0.2199233716235271,0.1185228115998767,-0.7790143082525138,-1.424483306518969,-2.3147853730937045,0.4006359299586814,2.337042924758048,-0.0557195750446971,0.1717585689938832,24.48330683079965,0.8660254037844387,0.9510565162951535,2020-02-18 08:50:00,603,1,R3b_higherlow,0.4492857142856954,1585.18,1,0.5276256295976106,0.12081353973517531,0.549873936098049,0.011444133097497715,62.93484133978053,-1.4426381799767978,-38.413928571426965,595.7500000000039,-7.846071428571314,1.0,1.0,595.7500000000039
0.589744,0.051282,0.230769,0.136095,0.039448,-0.206742,0.787879,1.416667,0.257143,0.0,0.384042,0.549471,0.593372,0.283037,0.179487,-0.629213,-0.089888,0.371429,0.6,3.333333,0.316866,-0.2154811717147662,-0.1300000002220249,0.2571428571183611,0.1523809523664534,0.2053562091323276,-0.7640449436483709,-1.4382022468680928,-2.359550561267494,0.6067415728973409,1.7528089883701528,-0.0491911150840872,0.1652700879785116,38.20224718242774,0.8660254037844387,0.9510565162951535,2020-02-18 08:55:00,604,1,R3a_pullback,0.4449999999999851,1585.27,1,0.5276256295976106,0.12081353973517531,0.549873936098049,0.011444133097497715,62.93484133978053,-1.2388796251573937,-21.137499999999292,595.7500000000039,17.276428571427672,1.0,1.0,595.7500000000039
0.619565,0.304348,0.543478,0.33672,0.138941,0.606729,1.533333,2.083333,0.790419,0.0,1.502533,-0.128614,1.410064,0.34364,0.23913,0.942127,-1.41319,0.550898,0.909091,0.84,0.51311,0.0672131144937104,0.2089947087696357,0.7904191616292436,0.5828055731807696,0.945124478197327,1.394347240652526,1.9030955581878668,0.1884253027907082,2.48721399683949,-0.2826379541860623,0.2607044226782056,0.3916463753608206,16.95827725117916,0.7071067811865476,0.9510565162951535,2020-02-18 09:05:00,606,1,R3g_three_green,0.530714285714274,1586.32,1,0.5276256295976106,0.12081353973517531,0.551353483560888,0.08455009041444393,62.93484133978053,0.9365745057765109,46.17214285714184,595.7500000000039,32.23142857142799,1.0,0.0,0.0
0.515152,0.121212,0.151515,0.078053,0.102847,0.180812,0.39759,1.416667,0.660819,0.0,0.161463,-0.0391,0.154738,0.874837,0.030303,-0.723247,-0.96433,0.192982,0.16129,5.6,0.160676,0.2186629523659949,0.3396624470447885,0.6608187134116978,0.6657599303276399,0.9665298529921766,1.825338253068532,2.3247232468324195,0.9987699875281678,3.2373923733664896,0.9987699875277762,-0.1057910181657167,0.5016068852088094,27.55227551801108,0.7071067811865476,0.9510565162951535,2020-02-18 09:25:00,610,1,R3c_breakpullback,0.5807142857142773,1586.88,1,0.5239972436962526,0.12430740743567374,0.551353483560888,0.08455009041444393,62.93484133978053,1.762046368815406,90.30107142857013,595.7500000000039,12.168928571428111,1.0,0.0,0.0
0.823529,-0.019608,0.627451,0.516724,-0.007305,0.388565,0.666667,2.083333,0.960699,0.0,0.275433,0.089595,0.698307,0.539312,0.647059,0.160083,-1.120582,0.222707,4.857143,0.59375,0.567588,0.3228571426377098,0.4999999997196263,0.9606986899144152,0.9177287915216296,0.9868399204211572,3.041580041137244,4.584199583532521,5.151767151017298,5.530145529340593,-0.0291060291017664,-0.2537897682219636,0.7012697622498945,13.097713095806824,0.7071067811865476,0.9510565162951535,2020-02-18 09:50:00,615,1,R3g_three_green,0.6871428571428656,1588.97,0,0.5440031612589514,0.004493971044596976,0.8419333298612173,4.437536420289972,26.650101493058873,4.392641728295826,176.9392857142879,595.7500000000039,-4.3435714285741085,1.0,0.0,0.0
