time,open,high,low,close,spread,f01_CPR,f02_WickAsym,f03_BEF,f04_TCS,f05_SPI,f06_LRSlope,f07_RECR,f08_SCM,f09_HLER,f10_EP,f11_KE,f12_MCS,f13_Work,f14_EDR,f15_AI,f16_PPShigh,f16_PPSlow,f17_SCR,f18_RVD,f19_WBER,f20_NCDE,h1_trend_sma20,h1_trend_sma50,h1_slope5,h1_rsi14,h1_atr_ratio,h1_dist_sma20,h1_dist_sma50,h4_trend_sma20,h4_trend_sma50,h4_slope5,h4_rsi14,h4_atr_ratio,h4_dist_sma20,h4_dist_sma50,label
2012.02.06 17:40,1716.22000,1716.26000,1714.38000,1715.98000,40,0.851064,-0.829787,0.127660,-0.019013,-0.723857,-0.355916,1.148092,-2.083333,0.292505,0.000000,-0.412141,0.191024,-0.428602,1.655440,0.702128,-1.733701,0.801656,0.343693,0.191304,6.833333,-0.142430,-1.152423,-4.040694,0.055597,37.6772,-0.211851,-0.371123,-1.289261,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,1
2012.02.06 17:45,1715.96000,1716.96000,1715.57000,1716.48000,40,0.654676,0.064748,0.374101,0.244915,0.040526,-0.237937,0.868750,-0.083333,0.383912,0.739362,0.226861,-0.318320,0.763802,1.131459,0.309353,-0.712357,-0.576670,0.254113,2.272727,1.673077,0.296530,-1.152423,-4.040694,0.055597,37.6772,-0.211851,-0.371123,-1.289261,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,1
2012.02.06 17:50,1716.45000,1717.06000,1715.93000,1716.65000,40,0.637168,-0.097345,0.176991,0.112773,-0.080116,-0.054634,0.773973,0.916667,0.560494,0.000000,0.151921,0.097935,0.240333,0.591055,0.274336,-0.156098,-0.756098,0.279012,0.340000,4.650000,0.159894,-1.152423,-4.040694,0.055597,37.6772,-0.211851,-0.371123,-1.289261,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,1
2012.02.06 17:55,1716.61000,1719.62000,1716.54000,1719.62000,40,1.000000,-0.022727,0.977273,0.977273,-0.000517,0.359207,2.146341,1.583333,1.000000,0.000000,1.085131,0.051321,2.842609,2.690905,1.000000,1.224462,-1.033140,0.587786,17.470588,0.023256,0.946324,-1.152423,-4.040694,0.055597,37.6772,-0.211851,-0.371123,-1.289261,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,1
2012.02.06 18:00,1719.57000,1719.97000,1718.32000,1719.25000,40,0.563636,-0.321212,0.193939,-0.084628,-0.258916,0.478193,0.882353,0.083333,0.871199,-0.535714,-0.332196,-0.003359,-0.437988,3.876219,0.127273,0.172900,-1.358504,0.295170,0.124579,4.156250,-0.189867,-1.034760,-3.783623,0.019682,31.4041,-0.189216,-0.344294,-1.247508,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,1
2012.02.06 18:05,1719.35000,1722.45000,1719.09000,1721.66000,40,0.764881,0.157738,0.687500,0.525856,0.049293,0.614218,1.853793,1.083333,0.885174,2.036364,1.267896,0.282552,2.044779,2.320498,0.529762,1.175355,-1.497630,0.488372,6.513514,0.454545,0.861497,-1.034760,-3.783623,0.019682,31.4041,-0.189216,-0.344294,-1.247508,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,1
2012.02.06 18:10,1721.68000,1725.11000,1721.60000,1723.32000,40,0.490028,0.487179,0.467236,0.228959,0.259551,0.686826,1.522777,1.416667,0.805011,0.000000,1.228472,-0.011363,1.273451,0.382914,-0.019943,1.187879,-2.259649,0.382353,0.688797,1.140244,0.536853,-1.034760,-3.783623,0.019682,31.4041,-0.189216,-0.344294,-1.247508,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,0
2012.02.06 18:15,1723.36000,1724.20000,1723.13000,1723.70000,40,0.532710,0.252336,0.317757,0.169272,0.172155,0.571495,0.368966,1.583333,0.835473,0.000000,0.125000,-0.353972,0.231700,1.005900,0.065421,-0.425234,-2.247664,0.124854,0.228916,2.147059,0.241914,-1.034760,-3.783623,0.019682,31.4041,-0.189216,-0.344294,-1.247508,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,-1
2012.02.06 18:20,1723.67000,1723.77000,1721.84000,1721.94000,40,0.051813,-0.000000,0.896373,-0.849929,-0.000000,0.373266,0.805005,0.083333,0.533137,-1.803738,-0.471318,0.014407,-1.023867,1.303371,-0.896373,-0.674093,-1.383399,0.284242,4.631579,0.115607,-0.716118,-1.034760,-3.783623,0.019682,31.4041,-0.189216,-0.344294,-1.247508,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,0
2012.02.06 18:25,1721.89000,1722.06000,1720.79000,1721.31000,40,0.409449,-0.275591,0.456693,-0.269701,-0.149730,-0.108576,0.514691,-0.916667,0.368771,0.000000,-0.219743,0.007236,-0.362811,0.639238,-0.181102,-1.592095,0.422819,0.210963,0.357955,1.189655,-0.379622,-1.034760,-3.783623,0.019682,31.4041,-0.189216,-0.344294,-1.247508,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,0
