time,open,high,low,close,spread,f01_CPR,f02_WickAsym,f03_BEF,f04_TCS,f05_SPI,f06_LRSlope,f07_RECR,f08_SCM,f09_HLER,f10_EP,f11_KE,f12_MCS,f13_Work,f14_EDR,f15_AI,f16_PPShigh,f16_PPSlow,f17_SCR,f18_RVD,f19_WBER,f20_NCDE,h1_trend_sma20,h1_trend_sma50,h1_slope5,h1_rsi14,h1_atr_ratio,h1_dist_sma20,h1_dist_sma50,h4_trend_sma20,h4_trend_sma50,h4_slope5,h4_rsi14,h4_atr_ratio,h4_dist_sma20,h4_dist_sma50,label,entry_class,rsi14,rsi6,stoch_k,stoch_d,bb_pct,mom5,mom10,mom20,ll_dist10,hh_dist10,vol_accel,atr_ratio,spread_norm,hour_enc,dow_enc,cluster
2016-10-22 08:55:00,630.98,631.03,630.98,631.03,0,1.0,0.0,1.0,1.0,0.0,3.221053,0.357143,1.583333,1.0,0.0,0.138504,21.501783,0.022098,0.022098,1.0,0.526316,-10.421053,0.048077,0.0,0.0,0.381356,0.063383,0.360389,0.043905,47.9484,0.546934,0.032558,0.185403,-0.027696,-0.799138,-0.031491,57.2594,0.142662,-0.023175,-0.664382,1,0,0.39393939299128167,0.49999999942307694,0.9999999999038461,0.9999999999006085,1.1156886129196522,10.947368409529304,12.42105261850431,11.157894725096991,12.526315776288152,-0.5263157889192178,5.236230252884785,-0.776049033527585,0.0,0.8660254037844387,-0.9749279121818236,0
2016-10-22 09:00:00,631.03,633.96,631.03,632.79,0,0.600683,0.399317,0.600683,0.36082,0.159454,1.850235,19.213115,1.75,0.70529,0.0,46.35986,105.184223,4.704507,4.703201,0.201365,9.629108,-1.971831,0.738035,35.2,0.664773,2.674003,0.385641,0.696686,0.018133,50.5017,0.512409,0.195857,0.354388,-0.027696,-0.799138,-0.031491,57.2594,0.142662,-0.023175,-0.664382,0,1,0.45454545411157354,0.4999999997857142,0.7052896725262988,0.9017632241097114,1.422868827502039,9.20187793124808,9.20187793124808,9.267605630756934,9.20187793124808,-5.78403755678457,2.6558581373349934,-0.2817157889333074,0.0,0.7071067811865476,-0.9749279121818236,0
2016-10-22 09:05:00,632.79,632.79,632.49,632.68,0,0.633333,-0.633333,0.366667,-0.134444,-0.401111,1.599561,0.339943,-0.166667,0.637394,-0.102389,-0.424169,-0.959503,-0.285763,4.721484,0.266667,-3.592105,-4.635965,0.084986,0.0625,1.727273,-0.063984,0.385641,0.696686,0.018133,50.5017,0.512409,0.195857,0.354388,-0.027696,-0.799138,-0.031491,57.2594,0.142662,-0.023175,-0.664382,-1,1,0.4216300936394086,0.4621993125163799,0.6373937676873104,0.7808944800391516,1.163901598823881,8.22807017291238,8.25877192728889,8.320175436041914,8.25877192728889,3.929824560197296,2.791728941149462,-0.2277469179449363,0.0,0.7071067811865476,-0.9749279121818236,0
2016-10-22 09:10:00,632.0,632.0,632.0,632.0,0,0.0,0.0,0.0,0.0,0.0,0.985878,0.0,-0.916667,0.342282,0.0,0.0,-0.994824,-0.072125,0.226052,0.0,-5.236641,-2.725191,0.0,6.181818,0.0,0.0,0.385641,0.696686,0.018133,50.5017,0.512409,0.195857,0.354388,-0.027696,-0.799138,-0.031491,57.2594,0.142662,-0.023175,-0.664382,1,0,0.259689922205803,0.27932960880793933,0.3422818791831367,0.5616551064655818,0.9068082757515277,2.7251908389665576,5.370229006198876,5.370229006198876,5.370229006198876,5.236641219975144,2.4984136636740892,-0.11111111132223905,0.0,0.7071067811865476,-0.9749279121818236,0
2016-10-22 09:15:00,632.0,632.21,632.0,632.21,0,1.0,0.0,1.0,1.0,0.0,0.414717,0.256098,0.416667,0.412752,0.0,0.153855,1.000665,0.000344,0.072464,1.0,-4.622642,-2.562264,0.07047,0.308824,0.0,0.001998,0.385641,0.696686,0.018133,50.5017,0.512409,0.195857,0.354388,-0.027696,-0.799138,-0.031491,57.2594,0.142662,-0.023175,-0.664382,1,0,0.2994923855027247,0.21886120981092672,0.41275167783850186,0.4641424415696495,0.9060400281244395,3.2490566029154193,5.864150941847328,5.864150941847328,5.864150941847328,4.622641508212927,-0.5112219355566607,-0.09912972553394528,0.0,0.7071067811865476,-0.9749279121818236,0
2016-10-22 09:20:00,632.21,632.21,632.21,632.21,0,0.0,0.0,0.0,0.0,0.0,-0.442248,0.0,-0.083333,0.40273,0.0,0.0,-0.5,0.0,0.000345,0.0,-1.573643,-0.569767,0.0,0.0,0.0,0.0,0.385641,0.696686,0.018133,50.5017,0.512409,0.195857,0.354388,-0.027696,-0.799138,-0.031491,57.2594,0.142662,-0.023175,-0.664382,1,0,0.29210526286607363,0.21886120981092672,0.4027303754128891,0.3859213108115091,0.8603906725673877,3.2015503867284543,6.023255812319383,6.023255812319383,6.023255812319383,4.748062014215671,-0.8040852916257354,-0.11565092226608531,0.0,0.7071067811865476,-0.9749279121818236,0
2016-10-22 09:25:00,633.89,633.89,633.89,633.89,0,0.0,0.0,0.0,0.0,0.0,0.538304,0.0,1.083333,1.0,0.0,0.0,0.002657,0.024659,0.024659,0.0,3.438596,-3.868421,0.0,0.0,0.0,0.0,0.385641,0.696686,0.018133,50.5017,0.512409,0.195857,0.354388,-0.027696,-0.799138,-0.031491,57.2594,0.142662,-0.023175,-0.664382,-1,1,0.3558394158397532,0.3220720719609871,0.99999999994709,0.6051606843994936,1.1079299364338095,2.2514619878433413,7.98245613871709,7.98245613871709,7.98245613871709,0.14327485377194843,-0.8040852916257354,0.17691592937681966,0.0,0.7071067811865476,-0.9749279121818236,0
2016-10-22 09:30:00,633.89,633.92,633.89,633.92,0,1.0,0.0,1.0,1.0,0.0,1.124891,0.571429,1.75,1.0,0.0,0.001869,30.001467,0.03507,0.087674,1.0,0.061135,-3.851528,0.015625,0.017857,0.0,4.305556,0.385641,0.696686,0.018133,50.5017,0.512409,0.195857,0.354388,-0.027696,-0.799138,-0.031491,57.2594,0.142662,-0.023175,-0.664382,-1,1,0.3566243192015871,0.20848708471399324,0.9999999999479167,0.8009101251026317,1.0139903423051448,2.5269286748854007,7.988355165766608,8.008733622822117,8.008733622822117,0.08151382822226663,-0.9720086775174461,0.1897752066665821,0.0,0.7071067811865476,-0.9749279121818236,0
2016-10-22 09:35:00,633.04,633.04,632.74,632.74,0,0.0,0.0,1.0,-1.0,0.0,0.481739,5.0,-0.166667,0.385417,-10.0,-0.136106,-0.935604,-4.43609,4.545455,-1.0,-1.530435,-0.921739,0.15625,39.333333,0.0,-0.27027,0.385641,0.696686,0.018133,50.5017,0.512409,0.195857,0.354388,-0.027696,-0.799138,-0.031491,57.2594,0.142662,-0.023175,-0.664382,1,0,0.20553064260273435,0.007936507855891173,0.38541666664660584,0.795138888847204,0.7684468328863695,1.2869565215153531,3.060869564685111,4.78260869482051,4.017391303649331,2.121739130065874,-0.7255051461698088,0.3979092137051963,0.0,0.7071067811865476,-0.9749279121818236,0
2016-10-22 09:40:00,633.93,633.95,633.93,633.95,0,1.0,0.0,1.0,1.0,0.0,0.352268,0.242424,1.083333,1.0,0.066667,0.000457,9.520079,1.957378,4.69616,1.0,0.045356,-1.799136,0.011494,1.025424,0.0,1.875,0.385641,0.696686,0.018133,50.5017,0.512409,0.195857,0.354388,-0.027696,-0.799138,-0.031491,57.2594,0.142662,-0.023175,-0.664382,-1,1,0.250632911259388,0.2262180973467064,0.9999999999425288,0.7951388888456835,0.9257704048786544,2.6306695460386083,4.490280776859021,5.9870410358120285,4.490280776859021,0.015118790494460929,-0.7099537230268695,0.6057432194200976,0.0,0.7071067811865476,-0.9749279121818236,0
