f01_CPR,f02_WickAsym,f03_BEF,f04_TCS,f05_SPI,f06_LRSlope,f07_RECR,f08_SCM,f09_HLER,f10_EP,f11_KE,f12_MCS,f13_Work,f14_EDR,f15_AI,f16_PPShigh,f16_PPSlow,f17_SCR,f18_RVD,f19_WBER,f20_NCDE,rsi14,rsi6,stoch_k,stoch_d,bb_pct,mom5,mom10,mom20,ll_dist10,hh_dist10,vol_accel,atr_ratio,spread_norm,hour_enc,dow_enc,time,idx,direction,rule,atr,entry_price,label,hurst_rs,ou_theta,entropy_rate,kramers_up,wavelet_er,vwap_dist,quantum_flow,quantum_flow_h4,quantum_momentum,quantum_vwap_conf,quantum_divergence,quantum_div_strength,vpin,sig_quad_var,har_rv_ratio,hawkes_eta
1.0,-0.683673,0.316327,0.316327,-0.467409,0.351593,1.045333,2.083333,1.0,0.0,0.54181,-0.655537,1.737348,1.23433,1.0,0.318665,-0.945372,0.524064,2.583333,2.16129,0.310971,0.0863746956640152,0.0787545786273909,0.999999999946524,0.9950032944779172,0.8161658518897549,0.4886191198267594,0.7329286797401391,0.7966616084131316,3.675265553479286,-0.2974203338076609,-0.2229827519278424,0.3560228814047113,0.0,-0.4999999999999997,0.5877852522924732,2016-11-16 14:00:00,761,1,R3h_close_streak,0.9414285714285354,714.46,0,0.4229934945736919,0.1476262715845011,0.7752161274595603,0.33486846312858,40.63886067460813,2.54981015859651,-29.654999999998864,775.690714285716,6.769642857142621,-1.0,1.0,775.690714285716,0.4470984659948701,0.5286550347703188,0.3372788209922491,1.7241379310344824
0.993711,-0.981132,0.006289,0.00625,-0.974961,0.0,2.312727,0.75,0.9875,2.741379,1.398506,45.994282,2.101408,2.148239,0.987421,-0.010518,0.652141,0.99375,0.965517,158.0,0.010611,0.0292887027738569,0.1374999997609428,0.9874999999382928,0.866079418292453,0.8078944169793706,0.4312546956722398,0.410217881249227,0.767843726440683,3.618332080761542,0.0210368144230127,-0.305167192910098,0.3453141422855685,0.0,-0.4999999999999997,0.5877852522924732,2016-11-16 14:15:00,764,1,R3b_higherlow,0.9507142857142656,714.44,0,0.4013330534515594,0.2354098450616844,0.7752161274595603,0.33486846312858,40.63886067460813,2.4628970263182093,-45.63428571428474,775.690714285716,-7.448571428571597,-1.0,1.0,775.690714285716,0.44748947379523907,0.4728413996165126,0.33486259821383085,1.2068965517241377
1.0,0.0,1.0,1.0,0.0,-0.037062,0.459459,0.5,1.0,0.4,0.082617,-0.454901,0.994187,3.899066,1.0,0.011956,-0.657558,0.276423,1.030303,0.0,0.262664,0.0499999998326087,0.0131578943317016,0.9999999999186991,0.9271523178154698,0.72111599787118,0.0717335610504182,0.3706233987601999,0.3586678052518195,1.9128949613426296,0.0,-0.364233430758402,0.1119340624471647,0.0,-0.4999999999999997,0.5877852522924732,2016-11-16 14:45:00,770,1,R3f_sma_bounce,0.8364285714285741,714.46,1,0.4130296044512671,0.2979049441665914,0.7665766971976613,0.4785951946982638,38.996603625415176,2.734633210096075,-86.9885714285717,775.690714285716,8.857857142856531,-1.0,1.0,775.690714285716,0.4180168111553524,0.4257820702549154,0.3289605654662056,1.0344827586206897
1.0,0.0,1.0,1.0,0.0,1.386308,16.935484,1.5,1.0,0.0,17.941368,4.578817,4.82922,4.665138,1.0,5.99022,-0.889976,0.870647,9.545455,0.0,3.369332,0.3868175763992468,0.461783439398554,0.9999999999834164,0.987179487008502,1.5737358513065292,6.891605541185867,6.617766910410258,7.131214343114557,7.621841889920782,-5.990220048216228,1.6776439147436115,0.1447604118522971,0.0,-0.7071067811865471,0.5877852522924732,2016-11-16 15:25:00,778,1,R3g_three_green,0.8764285714285782,720.25,1,0.4172305871921536,0.4460484055631667,0.7696807105103463,5561.673770777598,38.996603625415176,9.07262157022578,256.79357142857344,775.690714285716,275.2435714285737,1.0,0.0,0.0,0.351898411146543,0.38970909501199524,0.3269009435837923,1.0344827586206897
0.373737,0.626263,0.373737,0.13968,0.392205,2.406325,0.532974,2.083333,0.920308,0.0,0.701657,-0.181671,0.051754,0.805559,-0.252525,0.897436,-8.112821,0.127249,0.13,1.675676,0.26136,0.4052631577465004,0.4999999999134199,0.9203084832786584,0.9734361610826164,1.1354105999738358,8.292307691315358,8.280341879350988,8.651282050246843,8.68717948613995,-0.155555555536936,1.8400578868804949,0.0759807977426365,0.0,-0.7071067811865471,0.5877852522924732,2016-11-16 15:35:00,780,1,R3h_close_streak,0.835714285714289,721.38,0,0.4307549876784589,-0.0308302712895575,0.7696807105103463,5561.673770777598,21.205054488828218,10.746921628277972,521.4857142857163,775.690714285716,7.643571428570794,1.0,0.0,0.0,0.3684550896250411,0.5338679294123009,0.34733162437802484,0.9674329501915707
0.911602,-0.754144,0.069061,0.062956,-0.702062,-0.162965,5.35305,0.25,0.747452,4.582278,3.332749,3.646463,0.863192,1.707884,0.823204,-0.449312,2.175242,0.819932,0.357143,13.48,0.173225,0.2545479228602674,-0.2062043795781259,0.7474518686254431,0.7350144396136656,0.7062700488199,-0.1693835965328827,2.1074885379145534,3.341314314764685,2.383851248047163,1.0376974019173024,-0.1651464770077741,3.1099618940918834,0.0,-0.8660254037844384,0.5877852522924732,2016-11-16 16:25:00,790,1,R3b_higherlow,5.608571428571411,733.2,0,0.5908816193736464,-0.039196430175826,0.4694305398800412,0.0201737713845497,21.205054488828218,3.512280668299468,103.7585714285711,1821.7757142857167,-373.7499999999984,1.0,0.0,0.0,0.7046670482782115,3.5750173382819788,0.7145859492601936,1.9170132699544462
1.0,-0.324324,0.675676,0.675676,-0.105186,0.29151,0.630458,2.083333,1.0,0.0,0.154952,0.22145,0.922389,0.730279,1.0,0.282106,-1.474476,0.250423,4.0,0.48,0.465343,-0.0906735751592248,0.3819742488134672,0.9999999999830796,0.9838501291800258,0.5116101706236026,0.9478774851873284,1.692638366405956,-1.3164965072046324,2.22299838787981,1.0042987640675185,-0.3231952014366657,0.0610094697950094,0.0,-0.9659258262890684,0.5877852522924732,2016-11-16 17:50:00,807,1,R3h_close_streak,2.658571428571455,731.5,0,0.5647046130223676,0.0287683121176571,0.4610411452859796,0.0027450700397152,44.73332526796032,6.223125700217612,-130.2700000000013,1821.7757142857167,64.05678571428652,-1.0,1.0,1821.7757142857167,0.7134841125521647,5.121107221813194,0.8996750003557739,2.3684210526315788
1.0,0.0,1.0,1.0,0.0,0.304497,0.8,2.083333,1.0,0.0,0.11375,-0.550101,0.745791,0.439671,1.0,0.095394,-0.931044,0.249501,0.785714,0.0,0.644245,-0.0158053186491654,0.4999999998755187,0.99999999998004,0.9748792270363804,0.6916292212606804,1.6636685744799833,1.3889343144741049,0.4006541291752067,2.922867266173528,-0.0953938402798152,-0.3247997977951812,0.0183463320817836,0.0,-1.0,0.5877852522924732,2016-11-16 18:00:00,809,1,R3g_three_green,2.620714285714306,733.25,0,0.5647046130223676,0.0287683121176571,0.4661522128765732,0.0221637414256765,44.73332526796032,6.915528600070224,35.37964285714313,1821.7757142857167,48.35464285714327,1.0,0.0,0.0,0.7128660170328495,5.138168616799918,0.9000804310778467,2.3684210526315788
1.0,0.0,1.0,1.0,0.0,0.094971,0.564841,1.583333,0.991416,0.0,0.080469,-0.103685,0.258817,0.247926,1.0,0.392982,-1.490058,0.2103,48.0,0.0,0.206397,0.1165919281543463,-0.3167115903261286,0.9914163089703334,0.5910002971315725,0.5471470795953991,-0.016374269004492,-1.2362573098402645,0.4011695906104268,1.8912280700205968,1.932163742531827,-0.5996896201291699,-0.5512800327651591,0.0,-1.0,0.5877852522924732,2016-11-16 18:45:00,818,1,R3f_sma_bounce,1.2214285714286055,730.97,0,0.5611582809890422,0.0395793226678604,0.4753192279095897,0.0071856729258034,42.338402627919656,12.414602656512248,-168.55714285714757,1821.7757142857167,49.80535714285716,-1.0,1.0,1821.7757142857167,0.7193977651263347,5.2537268738750855,0.9011329795799666,2.5314889788573995
0.670504,-0.670504,0.329496,-0.108568,-0.449575,-0.173412,9.328859,0.083333,0.670504,-14.183673,-9.74479,25.110691,-4.45355,4.526204,0.341007,0.0,3.811252,1.0,4.770833,2.034934,-1.003448,-0.0796954315318204,-0.3147138964880498,0.6705035971126456,0.6845942870355701,0.2207188381902822,-1.1497277676220778,-2.902903811067836,-0.5907441015958954,0.0127041742278562,2.953720507979333,0.9812090781397342,-0.4248554310140904,0.0,-1.0,0.5877852522924732,2016-11-16 18:50:00,819,1,R3e_false_breakdown,1.5742857142857525,728.68,1,0.5611582809890422,0.0395793226678604,0.4753192279095897,0.0071856729258034,42.338402627919656,8.141856277027276,-340.8328571428653,1821.7757142857167,-172.27571428571778,-1.0,1.0,1821.7757142857167,0.7218026386855391,5.264082124103027,0.9015650536214316,2.564102564102564
