f01_CPR,f02_WickAsym,f03_BEF,f04_TCS,f05_SPI,f06_LRSlope,f07_RECR,f08_SCM,f09_HLER,f10_EP,f11_KE,f12_MCS,f13_Work,f14_EDR,f15_AI,f16_PPShigh,f16_PPSlow,f17_SCR,f18_RVD,f19_WBER,f20_NCDE,rsi14,rsi6,stoch_k,stoch_d,bb_pct,mom5,mom10,mom20,ll_dist10,hh_dist10,vol_accel,atr_ratio,spread_norm,hour_enc,dow_enc,time,idx,direction,rule,atr,entry_price,label
0.209045,-0.173512,0.755422,-0.597505,-0.042437,-0.862148,4.514583,-1.416667,0.152167,0.0,-8.769746,0.659888,-3.590258,3.163802,-0.58191,-0.96825,3.503865,0.727914,5.419142,0.323763,-1.207991,-0.2335996635906764,-0.386956521741465,0.1521666106813726,0.2150535641907508,-0.4637624920848247,-4.684704583012762,-4.5223633350865535,-2.966593042460625,-2.628382109281082,5.25483158465824,1.2523808633856106,-0.0142554662470798,1.7393705134947877,-0.4999999999999997,0.9510565162951536,2026-02-24 14:15:00,58023,-1,R2d_continuation,5.174285714285816,5151.4,0
0.214982,-0.157358,0.727394,-0.571017,-0.042897,-0.420201,3.575277,-1.583333,0.184411,0.0,-4.02782,0.103144,-3.020031,2.625854,-0.570035,-0.413911,2.129942,0.857795,6.657025,0.374771,-0.880399,-0.1961941166765099,-0.3516649848667488,0.1844106463871158,0.3341740870545908,-0.1403442624943638,-2.678468727500496,-2.10226455784563,-4.408339324171791,-0.8731128684290671,2.9615384615012537,0.0517231841983345,0.4686939076911345,1.13227893600303,-0.7071067811865471,0.9510565162951536,2026-02-24 15:35:00,58039,-1,R2d_continuation,7.94857142857128,5137.78,0
0.907604,-0.300899,0.514309,0.466789,-0.146144,-0.534955,0.750307,0.583333,0.30065,0.576887,0.763931,0.144731,0.726093,2.759326,0.815209,-2.162865,0.332515,0.331257,0.324675,0.944356,0.641429,-0.1422049760385851,-0.2270663892597632,0.3006500541703758,0.2836997013486886,-0.0101904756157568,-2.359948021922482,-2.1931850996024256,-3.523245740651636,0.7893444989813809,2.866300895148599,0.1070916768075587,0.7567666969886953,0.909615939927281,-0.7071067811865471,0.9510565162951536,2026-02-24 15:50:00,58042,1,R2b_v_reversal,9.894285714285681,5132.96,0
0.15,0.280233,0.419767,-0.356802,0.1626,-0.299813,0.4285,-0.916667,0.206472,0.0,-0.207028,-0.074671,-0.391051,1.359465,-0.7,-1.409652,-0.54321,0.207679,0.222981,1.382271,-0.393524,-0.2668562902203284,-0.2521469942110801,0.2064718666983715,0.2795802790342895,-0.0204967317229548,-2.356902356884726,-4.104002992861209,-4.119715675240443,0.6397306397258679,4.28881406655974,0.0488348093716861,1.0952216717549543,0.673400673395636,-0.8660254037844384,0.9510565162951536,2026-02-24 16:15:00,58047,-1,R2d_continuation,13.364999999999977,5101.46,0
0.064165,0.256659,0.615012,-0.57555,0.09881,0.111361,1.082569,0.083333,0.62747,-1.268817,-0.287997,-0.04046,-1.048867,1.711287,-0.871671,0.168143,-0.509024,0.398072,1.665574,0.625984,-0.575276,0.2440633245245184,0.1910003862335071,0.6274698795150694,0.852411269659357,0.7585342333947124,1.1770033471048111,0.3372054866412652,1.079608846875964,2.1628929579115024,0.5421014635376846,-0.48932052199907,0.2068662348205789,0.8269344359049937,-0.9659258262890684,0.9510565162951536,2026-02-24 17:25:00,58061,-1,R2b_v_reversal,10.88357142857129,5138.46,0
0.914648,-0.598616,0.230681,0.210992,-0.460527,-0.113212,0.897051,0.416667,0.384951,0.791058,0.76797,0.022934,0.404294,2.247379,0.829296,-1.70533,0.668981,0.420874,0.212025,3.335,0.242679,-0.1032303370884039,-0.0954764553297152,0.3849514563088183,0.378324017027093,0.16275423586672,-0.7819072901665007,-1.502348376535596,0.1300796405944001,0.4645701449800747,2.018378599113417,0.7050497479898246,-0.2955081994169541,1.2865019399448223,-1.0,0.9510565162951536,2026-02-24 18:50:00,58078,1,R2b_v_reversal,6.995714285714452,5138.09,1
0.783304,-0.296625,0.269982,0.211478,-0.216542,-0.103245,0.997785,0.416667,0.373729,0.899361,0.834254,0.15256,0.722106,1.726808,0.566607,-0.708948,0.36021,0.477119,0.82967,2.703947,0.255099,-0.0107311749976373,-0.3765081618221589,0.3737288135561655,0.216484959679987,0.4120012581513904,-1.4178957718454317,-0.5001638806832481,3.707636840295189,0.6515896427251837,2.8702064896097794,0.4340350017412107,-0.4706846748444419,2.064896755114913,-0.8660254037844386,0.9510565162951536,2026-02-24 20:35:00,58099,1,R2b_v_reversal,4.35857142857133,5158.01,0
0.184109,0.337209,0.294574,-0.24034,0.237876,-0.407328,0.793541,-1.416667,0.0681,0.0,-0.480517,0.010231,-0.378607,1.594264,-0.631783,-1.119012,0.467363,0.369892,0.206757,2.394737,-0.287439,-0.2657287385497292,-0.3248987854304181,0.0681003584224387,0.1947615580495701,-0.0597807202571568,-2.4014113176366934,-1.7326638620922323,-2.5002035553874777,-0.2868774596227719,2.91627086437666,0.4530526429663759,-0.1777431621923951,1.7098656533805128,-0.7071067811865477,0.9510565162951536,2026-02-24 21:20:00,58108,-1,R2d_continuation,5.26357142857127,5147.38,0
0.94826,0.05174,0.94826,0.899196,0.002677,0.544731,2.040307,0.916667,0.970946,0.0,2.058223,0.392423,2.671443,1.349611,0.896519,1.889571,-1.584185,0.561543,1.818345,0.054563,1.198361,0.0948482863821649,0.2810320780814223,0.9709455890070118,0.7117715413297967,1.1248281575679868,2.091888207185752,2.172051806366241,1.1222903885266795,3.5081117927075023,-1.561281526895986,0.3626736010106219,-0.0325082504076399,1.7177914110101922,-0.5000000000000004,0.9510565162951536,2026-02-24 22:20:00,58120,1,R2d_continuation,5.23928571428561,5165.0,0
0.252604,0.351563,0.143229,-0.107049,0.301208,0.716068,0.525667,0.083333,0.882761,-0.771084,-0.301161,-0.167579,-0.128462,0.651738,-0.494792,0.430489,-2.829508,0.156863,0.267327,5.981818,-0.129927,0.2368693402061695,0.4582198001555411,0.8827614379048975,0.9329706156237388,1.0179636392022091,4.155334199425239,3.138732495966704,1.994802944957484,4.703046051586831,0.1495596939481376,-0.1203053203453569,-0.0737942745764143,1.8189692507211297,-0.5000000000000004,0.9510565162951536,2026-02-24 22:35:00,58123,-1,R2b_v_reversal,4.947857142857174,5169.89,1
