time,cid,rule,direction,bars,pnl_R,exit
2025-02-07 15:30:00,0,RL,1,11,-4.237759061228297,hard_sl
2025-02-10 13:50:00,2,RL,1,60,1.0019038007201828,max
2025-02-10 17:40:00,2,RL,1,59,7.186805830265031,ml_exit
2025-02-10 17:55:00,2,RL,-1,54,-4.000252024068436,hard_sl
2025-02-11 01:00:00,3,RL,-1,2,-5.008731497095599,hard_sl
2025-02-11 02:15:00,3,RL,-1,60,4.99247743229702,max
2025-02-11 11:50:00,3,RL,-1,60,0.2764294529000574,max
2025-02-11 12:45:00,2,RL,-1,60,-3.6307842711276326,max
2025-02-11 13:25:00,2,RL,1,60,3.415551488490129,max
2025-02-12 14:25:00,0,RL,1,60,-0.06432862738792816,max
2025-02-12 14:50:00,0,RL,-1,60,-1.3858992805755888,max
2025-02-12 14:55:00,0,RL,1,60,0.7147208121827487,max
2025-02-12 15:25:00,0,RL,-1,21,-4.047690754158865,hard_sl
2025-02-12 15:30:00,0,RL,1,60,1.212348284960388,max
2025-02-12 15:50:00,0,RL,1,60,1.4628132578820194,max
2025-02-12 16:05:00,0,RL,1,60,1.8986054291074712,max
2025-02-13 03:30:00,1,RL,-1,22,-4.496225260151074,hard_sl
2025-02-13 18:40:00,3,RL,-1,4,-4.00470806434363,hard_sl
2025-02-13 19:40:00,3,RL,-1,60,-1.8836029944457953,max
2025-02-13 20:25:00,3,RL,-1,25,-4.142185049660089,hard_sl
2025-02-14 09:15:00,3,RL,-1,60,6.8784905660376126,max
2025-02-14 09:30:00,3,RL,-1,60,7.764217517641909,max
2025-02-14 09:45:00,3,RL,-1,60,7.406412478336267,max
2025-02-14 10:20:00,3,RL,-1,59,17.566539923955148,ml_exit
2025-02-14 10:35:00,3,RL,-1,59,24.375689704500243,ml_exit
2025-02-14 10:45:00,3,RL,-1,60,19.89057620738321,max
2025-02-14 11:45:00,3,RL,-1,60,21.27417348362064,max
2025-02-14 14:30:00,3,RL,-1,59,8.255169656117856,ml_exit
2025-02-14 16:25:00,3,RL,-1,59,2.2659395843923944,ml_exit
2025-02-20 14:15:00,2,RL,1,60,2.183949094214697,max
2025-02-21 14:55:00,2,RL,-1,60,-0.04814719284665911,max
2025-02-24 01:25:00,2,RL,1,60,5.663778363810172,max
2025-02-24 15:30:00,3,RL,-1,60,-3.028432956381271,max
2025-02-24 15:35:00,3,RL,1,60,2.9284280247782712,max
2025-02-24 17:55:00,3,RL,-1,37,-4.000299591806225,hard_sl
2025-02-24 20:50:00,3,RL,-1,59,1.0417563495480608,ml_exit
2025-02-25 04:45:00,2,RL,-1,60,-2.3137391546743795,max
2025-02-25 14:05:00,3,RL,-1,60,9.446612673991169,max
2025-02-25 14:55:00,3,RL,-1,60,7.199570815450556,max
2025-02-25 16:15:00,3,RL,1,60,2.6875981161695464,max
2025-02-25 16:35:00,2,RL,1,60,3.0842875357439143,max
2025-02-25 16:55:00,2,RL,-1,51,-4.021168537407712,hard_sl
2025-02-25 18:05:00,2,RL,1,60,4.1821321321323,max
2025-02-26 06:45:00,3,RL,-1,13,-4.038602236700226,hard_sl
2025-02-26 07:15:00,3,RL,-1,60,-1.1403883495144975,max
2025-02-26 07:50:00,3,RL,-1,60,1.0898417559979807,max
2025-02-26 12:05:00,3,RL,-1,60,0.3716664655485041,max
2025-02-26 12:20:00,3,RL,-1,60,-1.1128120584078733,max
2025-02-26 13:10:00,3,RL,-1,59,-2.0864152325154515,ml_exit
2025-02-26 15:10:00,3,RL,-1,59,-1.71075387712284,ml_exit
2025-02-27 06:10:00,3,RL,-1,60,0.24335001316823546,max
2025-02-27 06:20:00,3,RL,-1,60,1.9676344357485671,max
2025-02-27 07:25:00,3,RL,-1,60,2.589981447124341,max
2025-02-27 09:00:00,3,RL,-1,22,-4.039490445860002,hard_sl
2025-02-27 09:05:00,3,RL,-1,60,-2.3537848605578353,max
2025-02-27 09:20:00,3,RL,-1,60,-1.021956856702626,max
2025-02-28 14:15:00,2,RL,1,8,-4.024513363679822,hard_sl
2025-02-28 15:00:00,2,RL,1,60,3.7652574008159734,max
2025-02-28 16:35:00,0,RL,1,60,2.211189947938415,max
2025-02-28 20:55:00,0,RL,1,60,6.779999999999973,ml_exit
2025-02-28 21:45:00,0,RL,1,59,3.9530759787203724,ml_exit
2025-03-02 23:55:00,0,RL,1,60,-0.7397738531461169,max
2025-03-07 13:35:00,2,RL,-1,59,3.0452708329102154,ml_exit
2025-03-07 20:40:00,3,RL,-1,41,-4.308925750395293,hard_sl
2025-03-09 22:10:00,3,RL,-1,60,0.7306102835177191,max
2025-03-10 03:35:00,3,RL,-1,60,3.2040980483467054,ml_exit
2025-03-10 09:40:00,2,RL,-1,60,1.958582746478803,max
2025-03-10 12:20:00,2,RL,-1,59,3.488803375214508,ml_exit
2025-03-10 12:45:00,2,RL,-1,60,6.703879522016813,max
